County Name,Population,Incorporation Date,Form of Government,Board of Supervisor,Desc
Alameda County,"POPULATION: 1,670,834",INCORPORATION DATE: 1853,FORM OF GOVERNMENT: Charter,"District 1 – David Haubert, District 2 – Elisa Marquez, District 3 – Lena Tam, District 4 – Nate Miley, District 5 – Keith Carson","ALAMEDA. County seat, Oakland. Created March 25, 1853. The word Alameda is derived from alamo the Spanish name for cottonwood or poplar tree, and means a “grove of poplar trees.” The name was applied both to the southern portion of the county (La Alameda) and to the stream running through it (Rio de la Alameda) as early as 1795."
Alpine County,"POPULATION: 1,142",INCORPORATION DATE: 1864,"FORM OF GOVERNMENT: General Law","District 1 – Charles Dobson, District 2 – Ron Hames, District 3 - Irvin Jim, District 4 – Terry Woodrow, District 5 – David Griffith","ALPINE. County seat, Markleeville. Created March 16, 1864. It derived its name from the English word alpine meaning “of, pertaining to, or connected with, the Alps.” Its geographical position, lying as it does on the crest of the Sierra Nevada mountains, makes it particularly an alpine county, and hence its name."
Amador County,"POPULATION: 37,676",INCORPORATION DATE: 1854,FORM OF GOVERNMENT: General Law,"District 1 – Patrick Crew, District 2 – Richard Forster, District 3 – Jeff Brown, District 4 – Fred Axe, District 5 – Brian Oneto","AMADOR. County seat, Jackson. Created June 14, 1854. The county is named for Jose Maria Amador, soldier, rancher and miner, who was born in San Francisco in 1794, the son of Sergeant Pedro Amador, a Spanish soldier who settled in California in 1771. In 1848, Jose Maria Amador, with several Indians, established a successful gold mining camp near the present town of Amador. In Spanish, the word amador means “one who loves.”"
Butte County,"POPULATION: 210,291",INCORPORATION DATE: 1850 ,FORM OF GOVERNMENT: Charter,"District 1 – Bill Connelly, District 2 – Peter Durfee, District 3 – Tami Ritter, District 4 – Tod Kimmelshue, District 5 – Doug Teeter","BUTTE. County seat, Oroville. Created February 18, 1850. Its name is derived from the Marysville or Sutter Buttes, which lay within the boundaries when it was created. The word butte is derived from the Teutonic word meaning “a blunt extension or elevation.” In the French language, it signifies “a small hill or mound of earth detached from any mountain range.”"
Calaveras County,"POPULATION: 45,023",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Gary Tofanelli, District 2 – John Garamendi Jr., District 3 – Martin Huberty, District 4 – Amanda Folendorf, District 5 – Benjamin Stopper","CALAVERAS. County seat, San Andreas. Created February 18, 1850. The meaning of the word calaveras is “skulls.” This county takes its name from the Calaveras River which was reportedly so designated by an early explorer when he found, on the banks of the stream, many skulls of Indians who had either died of famine or had been killed in tribal conflicts over hunting and fishing grounds."
Colusa County,"POPULATION: 21,902",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Merced Corona, District 2 – Daurice Kalfsbeek Smith, District 3 – Kent Boes, District 4 – Gary Evans, District 5 – Janice Bell","COLUSA. County seat, Colusa. Created February 18, 1850. Named after two Mexican land grants; Coluses (1844) and Colus (1845). The name of the county in the original state legislative act was spelled Colusi, and often in newspapers was spelled Coluse. The word is derived from the name of an Indian tribe living on the west side of the Sacramento River."
Contra Costa County,"POPULATION: 1,145,876",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – John Gioia, District 2 – Candace Andersen, District 3 – Diane Burgis, District 4 – Ken Carlson, District 5 – Federal D. Glover","CONTRA COSTA. County seat, Martinez. Created February 18, 1850. The name signifies “opposite coast,” because of its situation opposite San Francisco, in an easterly direction, on San Francisco Bay. In 1853, Alameda County was formed from territory originally included in this county."
Del Norte County,"POPULATION: 27,298",INCORPORATION DATE: 1857,FORM OF GOVERNMENT: General Law,"District 1 – Darrin Short, District 2 – Valerie Starkey, District 3 – Christopher Howard, District 4 – Joey Borges, District 5 – Dean Wilson","DEL NORTE. County seat, Crescent City. Created March 2, 1857, from territory formerly included in Klamath County. The name of this county signifies “the north” and the county derived its name from its geographical position in the extreme northwest corner of the state."
El Dorado County,"POPULATION: 193,227",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: Charter,"District 1 – John Hidahl, District 2 – George Turnboo, District 3 – Wendy Thomas, District 4 – Lori Parlin, District 5 – Brooke Laine","EL DORADO. County seat, Placerville. Created February 18, 1850. El Dorado — the far-famed fabulous region of genial clime and never-fading verdure, where gold and precious stones are as common as rocks and pebbles, where wines gently flow from fountains. The name, meaning “the gilded one” in Spanish, appears at the beginning of the 16th century as that of a mythical Indian chief who was said to have been covered with gold dust during the performance of religious rites. When the discovery of gold by James W. Marshall at Coloma in January 1848 became known to the world, California, and particularly that section where gold was discovered, was called “El Dorado.” From this fact the county received its name."
Fresno County,"POPULATION: 1,023,358",INCORPORATION DATE: 1856,FORM OF GOVERNMENT: Charter,"District 1 – Brian Pacheco, District 2 – Steve Brandau, District 3 – Sal Quintero, District 4 – Buddy Mendes, District 5 – Nathan Magsig","FRESNO. County seat, Fresno. Created April 19, 1856. Named after Fresno Creek. Fresno in Spanish signifies “ash tree” and it was due to the abundance of mountain ash or ash trees in the county that it received its name."
